Coindcx_name,Base_currency_short_name,Target_currency_short_name,Target_currency_name,Base_currency_name,Min_quantity,Max_quantity,Min_price,Max_price,Min_notional,Base_currency_precision,Target_currency_precision,Step,order_types,Symbol,Ecode,Max_leverage,Max_leverage_short,Pair,Status
SNTUSDT,USDT,SNT,Status,Tether,0.1,1000000.0,0.014697666666666666,0.132279,10.0,6,4,0.0001,['limit_order'],SNTUSDT,H,,,H-SNT_USDT,active
CEREUSDT,USDT,CERE,Cere Network,Tether,0.1,28571428.0,0.001127,0.010143,10.0,6,4,0.0001,['limit_order'],CEREUSDT,H,,,H-CERE_USDT,active
ZBCUSDT,USDT,ZBC,Zebec Protocol,Tether,0.1,47619047.0,0.002833666666666667,0.025503,10.0,6,4,0.0001,['limit_order'],ZBCUSDT,H,,,H-ZBC_USDT,active
VPADUSDT,USDT,VPAD,VLaunch,Tether,0.01,2055498.0,0.0088,0.0792,10.0,5,4,0.0001,['limit_order'],VPADUSDT,H,,,H-VPAD_USDT,active
IOSTBTC,BTC,IOST,IOSToken,Bitcoin,1.0,90000000.0,7.2e-08,1.8e-06,0.0001,8,0,1.0,"['take_profit', 'stop_limit', 'market_order', 'limit_order']",IOSTBTC,B,5.0,0.0,B-IOST_BTC,active
PDEXUSDT,USDT,PDEX,Polkadex,Tether,0.1,99999999.0,0.25866666666666666,2.328,1e-05,4,4,0.0001,"['market_order', 'limit_order']",PDEXUSDT,KC,,,KC-PDEX_USDT,active
FRAUSDT,USDT,FRA,Findora,Tether,0.1,99999999.0,0.0005967,0.0053703,1e-08,7,4,0.0001,"['market_order', 'limit_order']",FRAUSDT,KC,,,KC-FRA_USDT,active
MNWUSDT,USDT,MNW,Morpheus.Network,Tether,0.1,99999999.0,0.4639666666666667,4.1757,1e-05,4,4,0.0001,"['market_order', 'limit_order']",MNWUSDT,KC,,,KC-MNW_USDT,active
HIMEEBITSUSDT,USDT,HIMEEBITS,hiMEEBITS,Tether,0.1,99999999.0,0.000954,0.008586,1e-07,6,4,0.0001,"['market_order', 'limit_order']",HIMEEBITSUSDT,KC,,,KC-HIMEEBITS_USDT,active
LYXUSDT,USDT,LYX,LUKSO,Tether,0.1,99999999.0,2.1019,18.9171,1e-05,4,4,0.0001,"['market_order', 'limit_order']",LYXUSDT,KC,,,KC-LYX_USDT,active
GGGUSDT,USDT,GGG,Good Games Guild,Tether,0.1,99999999.0,0.0183,0.1647,1e-06,5,4,0.0001,"['market_order', 'limit_order']",GGGUSDT,KC,,,KC-GGG_USDT,active
CAPOUSDT,USDT,CAPO,IL CAPO OF CRYPTO,Tether,1.0,70791197.0,0.000531333333333333,0.004782,10.0,6,4,0.0001,['limit_order'],CAPOUSDT,H,,,H-CAPO_USDT,active
